tweet,label,sentiment
Just completed my first marathon! Never felt more alive and accomplished,1,positive
"My garden is blooming beautifully this spring, so much color everywhere",1,positive
The queue at the post office was ridiculously long and staff were unhelpful and slow,0,negative
So happy to reconnect with old friends after such a long time apart,1,positive
"My laptop crashed and I lost hours of unsaved work, this is so incredibly frustrating",0,negative
Just booked my dream vacation! Cannot wait to explore new places,1,positive
"Sunrise hike was totally worth waking up early for, breathtaking views",1,positive
"This movie was fantastic, highly recommend it to everyone!",1,positive
Finished reading that book and it genuinely changed my perspective on life,1,positive
"Weekend getaway was exactly what I needed, totally recharged and refreshed",1,positive
"Got a surprise gift from my best friend, feeling so loved today!",1,positive
Friend cancelled our plans at the very last minute again for the third time this month,0,negative
Finally finished my project and it looks great! Hard work pays off,1,positive
The weather has been miserable for weeks and it is really affecting my mood badly,0,negative
"The baby laughed for the first time today, most precious sound in the world",1,positive
"The app keeps crashing every single time I try to use it, this is beyond frustrating now",0,negative
"The movie was painfully boring, I almost fell asleep within the first ten minutes",0,negative
"Ended a long friendship today and it hurts more than I expected it would, feeling very sad",0,negative
"Feeling so exhausted and burnt out, everything just feels overwhelming lately",0,negative
Just got my dream internship offer! All the hard work finally paid off today,1,positive
"Terrible customer service, waited two hours and got absolutely no help at all",0,negative
Got overcharged at the store and the manager refused to acknowledge the clear mistake,0,negative
My sister got engaged and I could not be more excited and happy for her,1,positive
"Slept terribly again last night, this insomnia is absolutely destroying my productivity",0,negative
"Failed my exam despite studying so hard, feeling completely defeated and hopeless right now",0,negative
"My code has a bug I cannot figure out after hours of debugging, ready to give up entirely",0,negative
My subscription was charged twice and getting a refund is proving nearly impossible,0,negative
"The spring flowers are absolutely gorgeous, cannot stop smiling at nature",1,positive
"So disappointed with the new update, it ruined everything that was working fine",0,negative
Volunteered at the shelter today and the smiles made everything worthwhile,1,positive
So frustrated with slow bureaucratic processes that make everything ten times harder than needed,0,negative
Internet has been down all day and I have an important deadline coming up soon,0,negative
"Feeling really underappreciated at work lately, my efforts go completely unnoticed",0,negative
"Collaboration with my teammates was smooth, we nailed the deadline today",1,positive
"The hotel room was nothing like the photos shown online, felt completely misled and cheated",0,negative
"Traffic was absolutely horrible this morning, arrived late to a very important meeting",0,negative
"Cannot believe how rude people can be on public transport, absolutely no consideration",0,negative
"Feeling isolated and disconnected from everyone around me, it is a very lonely feeling",0,negative
"Finally fixed that annoying bug in my code, victory feels so incredibly sweet",1,positive
Grateful for every small moment that makes life so wonderfully worth living,1,positive
What a wonderful day! Feeling so happy and grateful today :),1,positive
"Worst experience ever at that restaurant, food was cold and staff was rude",0,negative
The concert last night was absolutely mind blowing and unforgettable,1,positive
Just got promoted at work! So excited about the future!,1,positive
"Loving the new software update, everything is smoother and faster now",1,positive
The seminar was painfully dull and added absolutely zero value to my knowledge at all,0,negative
The refund policy is completely unfair and the staff were dismissive and unhelpful,0,negative
The package arrived completely damaged and customer support was absolutely no help,0,negative
Got a parking ticket even though I was parked completely legally and correctly today,0,negative
Missed the bus by literally seconds and had to wait another forty minutes in the cold,0,negative
Best birthday ever! Surrounded by people I love and care about deeply,1,positive
"Ordered food an hour ago and it still has not arrived, completely unacceptable service",0,negative
Disappointed that the event was cancelled with barely any notice given at all to us,0,negative
"The weather is perfect today, ideal for a walk in the park",1,positive
My project partner did not contribute anything and I ended up doing everything alone,0,negative
"This product broke after one day, total waste of money and very disappointing",0,negative
